"","X","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count","total_engagement","parsed_timestamp","adjusted_timestamp","parsed_date","parsed_time","post_hour"
"1",1,310668279073583,"Ward Village","You’ve heard of smart homes, smart devices, and smart spaces, but have you ever heard of “smart clothes”? Learn more on our blog: bit.ly/2mE8Ogf.","2018-01-16T22:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1065763883564015/?type=3","310668279073583_1065764513563952",NA,8,0,0,8,2018-01-16 22:00:00,2018-01-16 12:00:00,"01/16/18","12:00","12"
"2",2,310668279073583,"Ward Village","Who was Ossipoff and what is mid-century modern architecture? Take a tour of three of the era’s signature works in Honolulu: bit.ly/2CV7We6.","2018-01-12T22:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1063325530474517/?type=3","310668279073583_1063326050474465",NA,291,9,22,322,2018-01-12 22:00:00,2018-01-12 12:00:00,"01/12/18","12:00","12"
"3",3,310668279073583,"Ward Village","Bright, bold, & unforgettable. For more than five decades Jams World has been doing it their way. Learn more about their remarkable brand story and vision for the future: bit.ly/2FjKuJ3. #weareward","2018-01-11T04:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1062129553927448/?type=3","310668279073583_1062131240593946",NA,0,0,0,0,2018-01-11 04:00:00,2018-01-10 18:00:00,"01/10/18","18:00","18"
"4",4,310668279073583,"Ward Village","Oh what a night! We had an amazing time at the National Association of Home Builders Awards Gala last night, where we were honored to be recognized for Best Sales Center, Best Landscape Design for a masterplan and Master Planned Community of the Year. Mahalo to the National Association of Home Builders, our staff, community, and industry partners for helping us achieve this amazing recognition. Learn more: bit.ly/2DfVeYj.","2018-01-10T20:05:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1062681280538942/?type=3","310668279073583_1062681603872243","Ward Village added 2 new photos.",13,3,2,18,2018-01-10 20:05:00,2018-01-10 10:05:00,"01/10/18","10:05","10"
"5",5,310668279073583,"Ward Village","By scouring the seafloor in search of materials for her jewelry line, Karen Sewicki of Flotsam & Co. is redefining the term “locally sourced.” Check out our blog for more: bit.ly/2mgyVug. #weareward","2018-01-09T04:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1061742217299515/?type=3","310668279073583_1061742423966161",NA,4,0,0,4,2018-01-09 04:00:00,2018-01-08 18:00:00,"01/08/18","18:00","18"
"6",6,310668279073583,"Ward Village","Looking to craft a brighter 2018 for yourself but not sure where to start? Check out our list of New Year’s Resolutions here: bit.ly/2qw0unU.","2018-01-05T22:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1059876880819382/?type=3","310668279073583_1059878077485929",NA,8,0,0,8,2018-01-05 22:00:00,2018-01-05 12:00:00,"01/05/18","12:00","12"
"7",7,310668279073583,"Ward Village","Shaken, not stirred: Bar Leather Apron provides an intimate bar experience in downtown Honolulu, offering finely crafted cocktails, beer and wine: bit.ly/2BMftMK.","2018-01-03T03:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1051919088281828/?type=3","310668279073583_1051919268281810",NA,460,5,25,490,2018-01-03 03:00:00,2018-01-02 17:00:00,"01/02/18","17:00","17"
"8",8,310668279073583,"Ward Village","2017 has truly been one for the books for us. In our latest blog post, we’re casting our eyes back to some of the great highlights from the past year.: bit.ly/2EjiIfg. #weareward","2017-12-31T22:00:01+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1056811524459251/?type=3","310668279073583_1056811914459212",NA,7,0,1,8,2017-12-31 22:00:01,2017-12-31 12:00:01,"12/31/17","12:00","12"
"9",9,310668279073583,"Ward Village","From Japan to Brazil to Hawai‘i, Kekoa Collective helps us track the history of Jiu Jitsu and examine how it’s helped shape culture in the Islands today: bit.ly/2pOOm1d. #weareward","2017-12-28T22:45:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1055416377932099/?type=3","310668279073583_1055417714598632",NA,1,0,2,3,2017-12-28 22:45:00,2017-12-28 12:45:00,"12/28/17","12:45","12"
"10",10,310668279073583,"Ward Village","Catch a movie, take a free yoga class or meet up for shopping and drinks: bit.ly/2kXkVEf. #weareward","2017-12-27T03:00:00+0000","photo","https://www.facebook.com/WardVillage/photos/a.320413001432444.1073741828.310668279073583/1051916604948743/?type=3","310668279073583_1051916791615391",NA,455,2,15,472,2017-12-27 03:00:00,2017-12-26 17:00:00,"12/26/17","17:00","17"
